CityName,Potential,Domain,Group,Options,領域,選択肢群,選択肢,English,Japanese,Type,選択肢OLD
Japan,-1815.15,Housing,Eco House,Zero Energy House,住居,エコハウス,自宅をゼロエネルギー住宅に,Japan,全国,Country,ゼロエネルギー住宅
Japan,-2086.69,Housing,Eco House,Life Cycle Carbon Minus House,住居,エコハウス,自宅をライフサイクルカーボンマイナス住宅に,Japan,全国,Country,ライフサイクルカーボンマイナス住宅
Japan,-191.25,Mobility,Compact City,Living Close to Services,移動,コンパクトシティ,コンパクトな街に住む,Japan,全国,Country,コンパクトシティ
Japan,-260.39,Mobility,Compact City,Living Close to Workplace,移動,コンパクトシティ,自宅と職場・学校の距離を近く,Japan,全国,Country,職住近接
Japan,-57.17,Mobility,Micro Leisure,Local Weekend,移動,マイクロツーリズム,週末を地元で過ごす,Japan,全国,Country,地元で過ごす休日
Japan,-96.88,Mobility,Micro Leisure,Domestic Vacation,移動,マイクロツーリズム,休暇を国内で過ごす,Japan,全国,Country,国内で過ごす休暇
Japan,-151.78,Mobility,Micro Leisure,Local Vacation,移動,マイクロツーリズム,休暇を近場で過ごす,Japan,全国,Country,地元で過ごす休暇
Japan,-144.75,Mobility,Demand Reduction,Less Frequent Shopping,移動,移動需要削減,まとめ買いをする,Japan,全国,Country,まとめ買い
Japan,-170.41,Mobility,Demand Reduction,Online Homecoming Visit,移動,移動需要削減,帰省をオンラインで,Japan,全国,Country,オンライン帰省
Japan,-279.41,Mobility,Demand Reduction,Teleworking,移動,移動需要削減,テレワークの実施,Japan,全国,Country,テレワーク
Japan,-18.29,Mobility,Modal Shift,Taxi Trips,移動,移動手段転換,タクシー移動をバス・自転車に,Japan,全国,Country,タクシー移動の転換
Japan,-40.73,Mobility,Modal Shift,Domestic Flights,移動,移動手段転換,国内線の飛行機利用を列車に,Japan,全国,Country,国内飛行機の転換
Japan,-193.05,Mobility,Modal Shift,Long Distance Trips,移動,移動手段転換,長距離移動を公共交通機関で,Japan,全国,Country,長距離移動の転換
Japan,-243.45,Mobility,Modal Shift,Commuting Trips,移動,移動手段転換,通勤・通学を公共交通機関で,Japan,全国,Country,通勤移動の転換
Japan,-410.19,Mobility,Modal Shift,In-city Private Trips,移動,移動手段転換,都市内移動を公共交通機関で,Japan,全国,Country,都市内移動の転換
Japan,-148.12,Mobility,Vehicle Efficiency,Eco Driving,移動,自動車効率改善,エコドライブを行う,Japan,全国,Country,エコドライブ
Japan,-126.45,Mobility,Vehicle Efficiency,Light Vehicle,移動,自動車効率改善,マイカーを軽自動車に,Japan,全国,Country,軽自動車
Japan,-185.65,Mobility,Vehicle Efficiency,Non-plug-in Hybrid Vehicle,移動,自動車効率改善,マイカーをハイブリッド車に,Japan,全国,Country,ハイブリッド車
Japan,-242.32,Mobility,Vehicle Efficiency,Electric Vehicle,移動,自動車効率改善,マイカーを電気自動車に,Japan,全国,Country,電気自動車
Japan,-244.7,Mobility,Vehicle Efficiency,Plug-in Hybrid Vehicle,移動,自動車効率改善,マイカーをＰＨＥＶに,Japan,全国,Country,プラグインハイブリッド車
Japan,-379.85,Mobility,Vehicle Efficiency,Plug-in Hybrid Vehicle (RE),移動,自動車効率改善,マイカーをＰＨＥＶに（充電は再エネで）,Japan,全国,Country,プラグインハイブリッド車（再エネ充電）
Japan,-467.44,Mobility,Vehicle Efficiency,Electric Vehicle (RE),移動,自動車効率改善,マイカーを電気自動車に（充電は再エネで）,Japan,全国,Country,電気自動車（再エネ充電）
Japan,-212.68,Mobility,Vehicle Sharing,Carsharing,移動,自動車シェアリング,カーシェアリング,Japan,全国,Country,カーシェアリング
Japan,-507.9,Mobility,Vehicle Sharing,Ridesharing,移動,自動車シェアリング,ライドシェアリング,Japan,全国,Country,ライドシェアリング
Sapporo,-20.71,Other,Material Sufficiency,E-Books,その他,物質の充足性,電子書籍の利用,Sapporo,札幌市,City,電子書籍
Sapporo,-78.16,Other,Material Sufficiency,Consumables Saving,その他,物質の充足性,消耗品を節約する,Sapporo,札幌市,City,消耗品の節約
Sapporo,-27.61,Other,Durability and Repair,Furniture Longer Use,その他,長期使用と修理,家具を長く使う,Sapporo,札幌市,City,家具の長期使用
Sapporo,-22,Other,Durability and Repair,Accessory Longer Use,その他,長期使用と修理,装飾品を長く使う,Sapporo,札幌市,City,装飾品の長期使用
Sapporo,-39.34,Other,Durability and Repair,Electronics Longer Use,その他,長期使用と修理,小型家電を長く使う,Sapporo,札幌市,City,電気製品の長期使用
Sapporo,-125.48,Other,Durability and Repair,Hobby Products Longer Use,その他,長期使用と修理,娯楽用品を長く使う,Sapporo,札幌市,City,趣味製品の長期使用
Sapporo,-188.32,Other,Durability and Repair,Clothes Longer Use,その他,長期使用と修理,衣類を長く着る,Sapporo,札幌市,City,衣類の長期使用
Sapporo,-211.26,Other,Decarbonized Leisure and Service,Healthy Lifestyles,その他,脱炭素レジャー・サービス,アルコールとたばこを控える,Sapporo,札幌市,City,健康的な生活
Sapporo,-70.06,Other,Decarbonized Leisure and Service,Eco Tourism,その他,脱炭素レジャー・サービス,旅行サービスをエコに,Sapporo,札幌市,City,エコツーリズム
Sapporo,-210.06,Other,Decarbonized Leisure and Service,Community Recreation,その他,脱炭素レジャー・サービス,レジャーをアウトドアや地域で,Sapporo,札幌市,City,コミュニティーでの休暇
Sapporo,-7.78,Food,Seasonal and Local Food,Local Food,食,季節・地元の食材,地元で採れた野菜や果物を食べる,Sapporo,札幌市,City,地産地消
Sapporo,-33.92,Food,Seasonal and Local Food,Seasonal Food,食,季節・地元の食材,旬の野菜や果物を食べる,Sapporo,札幌市,City,旬産旬消
Sapporo,-55.5,Food,Food Loss,Food Loss Reduction,食,フードロス,食品ロスをゼロに,Sapporo,札幌市,City,フードロス削減
Sapporo,-59.75,Food,Protein Shift,Pollotarian Diet,食,たんぱく源の転換,食事の肉類を鶏肉のみに,Sapporo,札幌市,City,白身肉への転換
Sapporo,-63.44,Food,Protein Shift,Pescatarian Diet,食,たんぱく源の転換,食事の肉類を魚に,Sapporo,札幌市,City,ペスカタリアン食
Sapporo,-181.66,Food,Protein Shift,Alternative Meat,食,たんぱく源の転換,食事の肉類を代替肉に,Sapporo,札幌市,City,代替肉製品への転換
Sapporo,-141.68,Food,Dietary Shift,Food Guide Snacks/Drinks,食,食生活の転換,菓子・アルコール・ジュースを減らす,Sapporo,札幌市,City,健康的な食生活（菓子・飲料）
Sapporo,-126.47,Food,Dietary Shift,Food Guide Meal,食,食生活の転換,バランスの取れた食事に,Sapporo,札幌市,City,健康的な食生活（食事）
Sapporo,-219.93,Food,Dietary Shift,Vegetarian Diet,食,食生活の転換,食事を菜食（ベジタリアン）に,Sapporo,札幌市,City,菜食（ベジタリアン）
Sapporo,-348.7,Food,Dietary Shift,Vegan Diet,食,食生活の転換,食事を完全菜食（ヴィーガン）に,Sapporo,札幌市,City,完全菜食（ヴィーガン）
Sapporo,-77.85,Housing,Energy Behavior,Energy Saving by Nudging,住居,エネルギー節約行動,ナッジによる省エネ,Sapporo,札幌市,City,ナッジングによるエネルギー節約
Sapporo,-282.74,Housing,Energy Behavior,Warm/Cool Clothes,住居,エネルギー節約行動,自宅でウォーム・クールビズ,Sapporo,札幌市,City,自宅でウォーム・クールビズ
Sapporo,-84.25,Housing,Appliances,LED Lighting,住居,効率的な住宅設備,自宅の電球をLEDに,Sapporo,札幌市,City,LED照明
Sapporo,-424.45,Housing,Appliances,Air Conditioner,住居,効率的な住宅設備,自宅の暖房をエアコンだけに,Sapporo,札幌市,City,エアコン
Sapporo,-167.44,Housing,Appliances,Water Heat Pump,住居,効率的な住宅設備,ヒートポンプによる温水供給,Sapporo,札幌市,City,ヒートポンプによる温水供給
Sapporo,-426,Housing,Housing Sufficiency,Compact House,住居,住居の充足性,自宅をコンパクトに,Sapporo,札幌市,City,コンパクトな住居
Sapporo,-240.87,Housing,Renewable Energy,Solar Water Heater,住居,再生可能エネルギー,自宅に太陽熱温水器を導入,Sapporo,札幌市,City,太陽光温水供給
Sapporo,-1124.05,Housing,Renewable Energy,Renewable Grid Electricity,住居,再生可能エネルギー,自宅の電力を再エネに,Sapporo,札幌市,City,再生可能エネルギー系統電力
Sapporo,-1163.61,Housing,Renewable Energy,Rooftop Solar PV,住居,再生可能エネルギー,自宅に太陽光パネル設置,Sapporo,札幌市,City,屋上太陽光パネル
Sapporo,-1235.46,Housing,Renewable Energy,Rooftop Solar PV (IH),住居,再生可能エネルギー,自宅に太陽光パネル設置・調理器をIHに,Sapporo,札幌市,City,屋上太陽光パネル（IH調理器併用）
Sapporo,-116.83,Housing,Eco House,Window Insulation,住居,エコハウス,自宅の窓を二重窓に,Sapporo,札幌市,City,窓の断熱
Sapporo,-356.15,Housing,Eco House,Insulation Renovation,住居,エコハウス,自宅を断熱リフォーム,Sapporo,札幌市,City,断熱リノベーション
Sapporo,-1929.79,Housing,Eco House,Nearly Zero Energy House,住居,エコハウス,自宅を準ゼロエネルギー住宅に,Sapporo,札幌市,City,準ゼロエネルギー住宅
Sapporo,-2357,Housing,Eco House,Zero Energy House,住居,エコハウス,自宅をゼロエネルギー住宅に,Sapporo,札幌市,City,ゼロエネルギー住宅
Sapporo,-2705.34,Housing,Eco House,Life Cycle Carbon Minus House,住居,エコハウス,自宅をライフサイクルカーボンマイナス住宅に,Sapporo,札幌市,City,ライフサイクルカーボンマイナス住宅
Sapporo,-211.35,Mobility,Compact City,Living Close to Services,移動,コンパクトシティ,コンパクトな街に住む,Sapporo,札幌市,City,コンパクトシティ
Sapporo,-311.7,Mobility,Compact City,Living Close to Workplace,移動,コンパクトシティ,自宅と職場・学校の距離を近く,Sapporo,札幌市,City,職住近接
Sapporo,-60.13,Mobility,Micro Leisure,Local Weekend,移動,マイクロツーリズム,週末を地元で過ごす,Sapporo,札幌市,City,地元で過ごす休日
Sapporo,-108.42,Mobility,Micro Leisure,Domestic Vacation,移動,マイクロツーリズム,休暇を国内で過ごす,Sapporo,札幌市,City,国内で過ごす休暇
Sapporo,-167.44,Mobility,Micro Leisure,Local Vacation,移動,マイクロツーリズム,休暇を近場で過ごす,Sapporo,札幌市,City,地元で過ごす休暇
Sapporo,-181.76,Mobility,Demand Reduction,Less Frequent Shopping,移動,移動需要削減,まとめ買いをする,Sapporo,札幌市,City,まとめ買い
Sapporo,-200.16,Mobility,Demand Reduction,Online Homecoming Visit,移動,移動需要削減,帰省をオンラインで,Sapporo,札幌市,City,オンライン帰省
Sapporo,-313.16,Mobility,Demand Reduction,Teleworking,移動,移動需要削減,テレワークの実施,Sapporo,札幌市,City,テレワーク
Sapporo,-21.9,Mobility,Modal Shift,Taxi Trips,移動,移動手段転換,タクシー移動をバス・自転車に,Sapporo,札幌市,City,タクシー移動の転換
Sapporo,-43.16,Mobility,Modal Shift,Domestic Flights,移動,移動手段転換,国内線の飛行機利用を列車に,Sapporo,札幌市,City,国内飛行機の転換
Sapporo,-232.71,Mobility,Modal Shift,Long Distance Trips,移動,移動手段転換,長距離移動を公共交通機関で,Sapporo,札幌市,City,長距離移動の転換
Sapporo,-287.6,Mobility,Modal Shift,Commuting Trips,移動,移動手段転換,通勤・通学を公共交通機関で,Sapporo,札幌市,City,通勤移動の転換
Sapporo,-494.45,Mobility,Modal Shift,In-city Private Trips,移動,移動手段転換,都市内移動を公共交通機関で,Sapporo,札幌市,City,都市内移動の転換
Sapporo,-186.05,Mobility,Vehicle Efficiency,Eco Driving,移動,自動車効率改善,エコドライブを行う,Sapporo,札幌市,City,エコドライブ
Sapporo,-158.64,Mobility,Vehicle Efficiency,Light Vehicle,移動,自動車効率改善,マイカーを軽自動車に,Sapporo,札幌市,City,軽自動車
Sapporo,-235.37,Mobility,Vehicle Efficiency,Non-plug-in Hybrid Vehicle,移動,自動車効率改善,マイカーをハイブリッド車に,Sapporo,札幌市,City,ハイブリッド車
Sapporo,-338.27,Mobility,Vehicle Efficiency,Electric Vehicle,移動,自動車効率改善,マイカーを電気自動車に,Sapporo,札幌市,City,電気自動車
Sapporo,-325.34,Mobility,Vehicle Efficiency,Plug-in Hybrid Vehicle,移動,自動車効率改善,マイカーをＰＨＥＶに,Sapporo,札幌市,City,プラグインハイブリッド車
Sapporo,-494.89,Mobility,Vehicle Efficiency,Plug-in Hybrid Vehicle (RE),移動,自動車効率改善,マイカーをＰＨＥＶに（充電は再エネで）,Sapporo,札幌市,City,プラグインハイブリッド車（再エネ充電）
Sapporo,-620.68,Mobility,Vehicle Efficiency,Electric Vehicle (RE),移動,自動車効率改善,マイカーを電気自動車に（充電は再エネで）,Sapporo,札幌市,City,電気自動車（再エネ充電）
Sapporo,-217.01,Mobility,Vehicle Sharing,Carsharing,移動,自動車シェアリング,カーシェアリング,Sapporo,札幌市,City,カーシェアリング
Sapporo,-637.42,Mobility,Vehicle Sharing,Ridesharing,移動,自動車シェアリング,ライドシェアリング,Sapporo,札幌市,City,ライドシェアリング
Aomori,-16.22,Other,Material Sufficiency,E-Books,その他,物質の充足性,電子書籍の利用,Aomori,青森市,City,電子書籍
Aomori,-64.83,Other,Material Sufficiency,Consumables Saving,その他,物質の充足性,消耗品を節約する,Aomori,青森市,City,消耗品の節約
Aomori,-26.81,Other,Durability and Repair,Furniture Longer Use,その他,長期使用と修理,家具を長く使う,Aomori,青森市,City,家具の長期使用
Aomori,-12.89,Other,Durability and Repair,Accessory Longer Use,その他,長期使用と修理,装飾品を長く使う,Aomori,青森市,City,装飾品の長期使用
Aomori,-29.99,Other,Durability and Repair,Electronics Longer Use,その他,長期使用と修理,小型家電を長く使う,Aomori,青森市,City,電気製品の長期使用
Aomori,-86.53,Other,Durability and Repair,Hobby Products Longer Use,その他,長期使用と修理,娯楽用品を長く使う,Aomori,青森市,City,趣味製品の長期使用
Aomori,-117.81,Other,Durability and Repair,Clothes Longer Use,その他,長期使用と修理,衣類を長く着る,Aomori,青森市,City,衣類の長期使用
Aomori,-130.07,Other,Decarbonized Leisure and Service,Healthy Lifestyles,その他,脱炭素レジャー・サービス,アルコールとたばこを控える,Aomori,青森市,City,健康的な生活
Aomori,-71.15,Other,Decarbonized Leisure and Service,Eco Tourism,その他,脱炭素レジャー・サービス,旅行サービスをエコに,Aomori,青森市,City,エコツーリズム
Aomori,-123.82,Other,Decarbonized Leisure and Service,Community Recreation,その他,脱炭素レジャー・サービス,レジャーをアウトドアや地域で,Aomori,青森市,City,コミュニティーでの休暇
Aomori,-6.98,Food,Seasonal and Local Food,Local Food,食,季節・地元の食材,地元で採れた野菜や果物を食べる,Aomori,青森市,City,地産地消
Aomori,-33.35,Food,Seasonal and Local Food,Seasonal Food,食,季節・地元の食材,旬の野菜や果物を食べる,Aomori,青森市,City,旬産旬消
Aomori,-45.6,Food,Food Loss,Food Loss Reduction,食,フードロス,食品ロスをゼロに,Aomori,青森市,City,フードロス削減
Aomori,-49.98,Food,Protein Shift,Pollotarian Diet,食,たんぱく源の転換,食事の肉類を鶏肉のみに,Aomori,青森市,City,白身肉への転換
Aomori,-54.84,Food,Protein Shift,Pescatarian Diet,食,たんぱく源の転換,食事の肉類を魚に,Aomori,青森市,City,ペスカタリアン食
Aomori,-150,Food,Protein Shift,Alternative Meat,食,たんぱく源の転換,食事の肉類を代替肉に,Aomori,青森市,City,代替肉製品への転換
Aomori,-118.81,Food,Dietary Shift,Food Guide Snacks/Drinks,食,食生活の転換,菓子・アルコール・ジュースを減らす,Aomori,青森市,City,健康的な食生活（菓子・飲料）
Aomori,-94.63,Food,Dietary Shift,Food Guide Meal,食,食生活の転換,バランスの取れた食事に,Aomori,青森市,City,健康的な食生活（食事）
Aomori,-193.36,Food,Dietary Shift,Vegetarian Diet,食,食生活の転換,食事を菜食（ベジタリアン）に,Aomori,青森市,City,菜食（ベジタリアン）
Aomori,-330.26,Food,Dietary Shift,Vegan Diet,食,食生活の転換,食事を完全菜食（ヴィーガン）に,Aomori,青森市,City,完全菜食（ヴィーガン）
Aomori,-79.01,Housing,Energy Behavior,Energy Saving by Nudging,住居,エネルギー節約行動,ナッジによる省エネ,Aomori,青森市,City,ナッジングによるエネルギー節約
Aomori,-281.85,Housing,Energy Behavior,Warm/Cool Clothes,住居,エネルギー節約行動,自宅でウォーム・クールビズ,Aomori,青森市,City,自宅でウォーム・クールビズ
Aomori,-100.17,Housing,Appliances,LED Lighting,住居,効率的な住宅設備,自宅の電球をLEDに,Aomori,青森市,City,LED照明
Aomori,-408.26,Housing,Appliances,Air Conditioner,住居,効率的な住宅設備,自宅の暖房をエアコンだけに,Aomori,青森市,City,エアコン
Aomori,-113.56,Housing,Appliances,Water Heat Pump,住居,効率的な住宅設備,ヒートポンプによる温水供給,Aomori,青森市,City,ヒートポンプによる温水供給
Aomori,-432.64,Housing,Housing Sufficiency,Compact House,住居,住居の充足性,自宅をコンパクトに,Aomori,青森市,City,コンパクトな住居
Aomori,-194.68,Housing,Renewable Energy,Solar Water Heater,住居,再生可能エネルギー,自宅に太陽熱温水器を導入,Aomori,青森市,City,太陽光温水供給
Aomori,-1347.38,Housing,Renewable Energy,Renewable Grid Electricity,住居,再生可能エネルギー,自宅の電力を再エネに,Aomori,青森市,City,再生可能エネルギー系統電力
Aomori,-1394.81,Housing,Renewable Energy,Rooftop Solar PV,住居,再生可能エネルギー,自宅に太陽光パネル設置,Aomori,青森市,City,屋上太陽光パネル
Aomori,-1427.17,Housing,Renewable Energy,Rooftop Solar PV (IH),住居,再生可能エネルギー,自宅に太陽光パネル設置・調理器をIHに,Aomori,青森市,City,屋上太陽光パネル（IH調理器併用）
Aomori,-116.47,Housing,Eco House,Window Insulation,住居,エコハウス,自宅の窓を二重窓に,Aomori,青森市,City,窓の断熱
Aomori,-355.02,Housing,Eco House,Insulation Renovation,住居,エコハウス,自宅を断熱リフォーム,Aomori,青森市,City,断熱リノベーション
Aomori,-1958.55,Housing,Eco House,Nearly Zero Energy House,住居,エコハウス,自宅を準ゼロエネルギー住宅に,Aomori,青森市,City,準ゼロエネルギー住宅
Aomori,-2394.48,Housing,Eco House,Zero Energy House,住居,エコハウス,自宅をゼロエネルギー住宅に,Aomori,青森市,City,ゼロエネルギー住宅
Aomori,-2731.86,Housing,Eco House,Life Cycle Carbon Minus House,住居,エコハウス,自宅をライフサイクルカーボンマイナス住宅に,Aomori,青森市,City,ライフサイクルカーボンマイナス住宅
Aomori,-185.28,Mobility,Compact City,Living Close to Services,移動,コンパクトシティ,コンパクトな街に住む,Aomori,青森市,City,コンパクトシティ
Aomori,-280.24,Mobility,Compact City,Living Close to Workplace,移動,コンパクトシティ,自宅と職場・学校の距離を近く,Aomori,青森市,City,職住近接
Aomori,-20.43,Mobility,Micro Leisure,Local Weekend,移動,マイクロツーリズム,週末を地元で過ごす,Aomori,青森市,City,地元で過ごす休日
Aomori,-94.82,Mobility,Micro Leisure,Domestic Vacation,移動,マイクロツーリズム,休暇を国内で過ごす,Aomori,青森市,City,国内で過ごす休暇
Aomori,-84.42,Mobility,Micro Leisure,Local Vacation,移動,マイクロツーリズム,休暇を近場で過ごす,Aomori,青森市,City,地元で過ごす休暇
Aomori,-151.29,Mobility,Demand Reduction,Less Frequent Shopping,移動,移動需要削減,まとめ買いをする,Aomori,青森市,City,まとめ買い
Aomori,-150.16,Mobility,Demand Reduction,Online Homecoming Visit,移動,移動需要削減,帰省をオンラインで,Aomori,青森市,City,オンライン帰省
Aomori,-277.09,Mobility,Demand Reduction,Teleworking,移動,移動需要削減,テレワークの実施,Aomori,青森市,City,テレワーク
Aomori,-13.55,Mobility,Modal Shift,Taxi Trips,移動,移動手段転換,タクシー移動をバス・自転車に,Aomori,青森市,City,タクシー移動の転換
Aomori,-14.22,Mobility,Modal Shift,Domestic Flights,移動,移動手段転換,国内線の飛行機利用を列車に,Aomori,青森市,City,国内飛行機の転換
Aomori,-217.74,Mobility,Modal Shift,Long Distance Trips,移動,移動手段転換,長距離移動を公共交通機関で,Aomori,青森市,City,長距離移動の転換
Aomori,-267.09,Mobility,Modal Shift,Commuting Trips,移動,移動手段転換,通勤・通学を公共交通機関で,Aomori,青森市,City,通勤移動の転換
Aomori,-462.64,Mobility,Modal Shift,In-city Private Trips,移動,移動手段転換,都市内移動を公共交通機関で,Aomori,青森市,City,都市内移動の転換
Aomori,-157.62,Mobility,Vehicle Efficiency,Eco Driving,移動,自動車効率改善,エコドライブを行う,Aomori,青森市,City,エコドライブ
Aomori,-133.45,Mobility,Vehicle Efficiency,Light Vehicle,移動,自動車効率改善,マイカーを軽自動車に,Aomori,青森市,City,軽自動車
Aomori,-189.86,Mobility,Vehicle Efficiency,Non-plug-in Hybrid Vehicle,移動,自動車効率改善,マイカーをハイブリッド車に,Aomori,青森市,City,ハイブリッド車
Aomori,-171.44,Mobility,Vehicle Efficiency,Electric Vehicle,移動,自動車効率改善,マイカーを電気自動車に,Aomori,青森市,City,電気自動車
Aomori,-213.1,Mobility,Vehicle Efficiency,Plug-in Hybrid Vehicle,移動,自動車効率改善,マイカーをＰＨＥＶに,Aomori,青森市,City,プラグインハイブリッド車
Aomori,-355.72,Mobility,Vehicle Efficiency,Plug-in Hybrid Vehicle (RE),移動,自動車効率改善,マイカーをＰＨＥＶに（充電は再エネで）,Aomori,青森市,City,プラグインハイブリッド車（再エネ充電）
Aomori,-409.01,Mobility,Vehicle Efficiency,Electric Vehicle (RE),移動,自動車効率改善,マイカーを電気自動車に（充電は再エネで）,Aomori,青森市,City,電気自動車（再エネ充電）
Aomori,-275.48,Mobility,Vehicle Sharing,Carsharing,移動,自動車シェアリング,カーシェアリング,Aomori,青森市,City,カーシェアリング
Aomori,-537.45,Mobility,Vehicle Sharing,Ridesharing,移動,自動車シェアリング,ライドシェアリング,Aomori,青森市,City,ライドシェアリング
Morioka,-18.04,Other,Material Sufficiency,E-Books,その他,物質の充足性,電子書籍の利用,Morioka,盛岡市,City,電子書籍
Morioka,-80.92,Other,Material Sufficiency,Consumables Saving,その他,物質の充足性,消耗品を節約する,Morioka,盛岡市,City,消耗品の節約
Morioka,-26.67,Other,Durability and Repair,Furniture Longer Use,その他,長期使用と修理,家具を長く使う,Morioka,盛岡市,City,家具の長期使用
Morioka,-19.45,Other,Durability and Repair,Accessory Longer Use,その他,長期使用と修理,装飾品を長く使う,Morioka,盛岡市,City,装飾品の長期使用
Morioka,-34.59,Other,Durability and Repair,Electronics Longer Use,その他,長期使用と修理,小型家電を長く使う,Morioka,盛岡市,City,電気製品の長期使用
Morioka,-99.49,Other,Durability and Repair,Hobby Products Longer Use,その他,長期使用と修理,娯楽用品を長く使う,Morioka,盛岡市,City,趣味製品の長期使用
Morioka,-159.19,Other,Durability and Repair,Clothes Longer Use,その他,長期使用と修理,衣類を長く着る,Morioka,盛岡市,City,衣類の長期使用
