CityName,CarbonFootprints,No,Domain,Component,English,Japanese,Type,領域,要素,要素OLD
KantoMetro.,124.53,1,Housing,Construction/maintenance,KantoMetro.,関東大都市圏,Metropolitan,住居,建築・維持管理,建設・維持管理
KantoReg.,120.66,1,Housing,Construction/maintenance,KantoReg.,関東,Region,住居,建築・維持管理,建設・維持管理
Kawasaki,118.15,1,Housing,Construction/maintenance,Kawasaki,川崎市,City,住居,建築・維持管理,建設・維持管理
KinkiMetro.,101.29,1,Housing,Construction/maintenance,KinkiMetro.,近畿大都市圏,Metropolitan,住居,建築・維持管理,建設・維持管理
KinkiReg.,102.52,1,Housing,Construction/maintenance,KinkiReg.,近畿,Region,住居,建築・維持管理,建設・維持管理
Kitakyushu,160.47,1,Housing,Construction/maintenance,Kitakyushu,北九州市,City,住居,建築・維持管理,建設・維持管理
Kitakyushu/FukuokaMetro.,121.19,1,Housing,Construction/maintenance,Kitakyushu/FukuokaMetro.,北九州・福岡大都市圏,Metropolitan,住居,建築・維持管理,建設・維持管理
Kobe,109.01,1,Housing,Construction/maintenance,Kobe,神戸市,City,住居,建築・維持管理,建設・維持管理
Kochi,126.51,1,Housing,Construction/maintenance,Kochi,高知市,City,住居,建築・維持管理,建設・維持管理
Kofu,92.57,1,Housing,Construction/maintenance,Kofu,甲府市,City,住居,建築・維持管理,建設・維持管理
Kumamoto,144.19,1,Housing,Construction/maintenance,Kumamoto,熊本市,City,住居,建築・維持管理,建設・維持管理
Kyoto,90.84,1,Housing,Construction/maintenance,Kyoto,京都市,City,住居,建築・維持管理,建設・維持管理
KyushuReg.,112.09,1,Housing,Construction/maintenance,KyushuReg.,九州,Region,住居,建築・維持管理,建設・維持管理
LargeCities,125.64,1,Housing,Construction/maintenance,LargeCities,大都市,Class,住居,建築・維持管理,建設・維持管理
Maebashi,101.7,1,Housing,Construction/maintenance,Maebashi,前橋市,City,住居,建築・維持管理,建設・維持管理
Matsue,99.46,1,Housing,Construction/maintenance,Matsue,松江市,City,住居,建築・維持管理,建設・維持管理
Matsuyama,125.88,1,Housing,Construction/maintenance,Matsuyama,松山市,City,住居,建築・維持管理,建設・維持管理
MiddleCities,113.53,1,Housing,Construction/maintenance,MiddleCities,中都市,Class,住居,建築・維持管理,建設・維持管理
Mito,120.96,1,Housing,Construction/maintenance,Mito,水戸市,City,住居,建築・維持管理,建設・維持管理
Miyazaki,92.31,1,Housing,Construction/maintenance,Miyazaki,宮崎市,City,住居,建築・維持管理,建設・維持管理
Morioka,118.98,1,Housing,Construction/maintenance,Morioka,盛岡市,City,住居,建築・維持管理,建設・維持管理
Nagano,134.15,1,Housing,Construction/maintenance,Nagano,長野市,City,住居,建築・維持管理,建設・維持管理
Nagasaki,74.15,1,Housing,Construction/maintenance,Nagasaki,長崎市,City,住居,建築・維持管理,建設・維持管理
Nagoya,108.67,1,Housing,Construction/maintenance,Nagoya,名古屋市,City,住居,建築・維持管理,建設・維持管理
Naha,104.45,1,Housing,Construction/maintenance,Naha,那覇市,City,住居,建築・維持管理,建設・維持管理
Nara,118.43,1,Housing,Construction/maintenance,Nara,奈良市,City,住居,建築・維持管理,建設・維持管理
Niigata,139.3,1,Housing,Construction/maintenance,Niigata,新潟市,City,住居,建築・維持管理,建設・維持管理
Oita,115.9,1,Housing,Construction/maintenance,Oita,大分市,City,住居,建築・維持管理,建設・維持管理
Okayama,111.17,1,Housing,Construction/maintenance,Okayama,岡山市,City,住居,建築・維持管理,建設・維持管理
OkinawaReg.,105.1,1,Housing,Construction/maintenance,OkinawaReg.,沖縄,Region,住居,建築・維持管理,建設・維持管理
Osaka,92.03,1,Housing,Construction/maintenance,Osaka,大阪市,City,住居,建築・維持管理,建設・維持管理
Otsu,101.63,1,Housing,Construction/maintenance,Otsu,大津市,City,住居,建築・維持管理,建設・維持管理
Saga,95.84,1,Housing,Construction/maintenance,Saga,佐賀市,City,住居,建築・維持管理,建設・維持管理
Sagamihara,122.52,1,Housing,Construction/maintenance,Sagamihara,相模原市,City,住居,建築・維持管理,建設・維持管理
Saitama,142.08,1,Housing,Construction/maintenance,Saitama,さいたま市,City,住居,建築・維持管理,建設・維持管理
Sakae,135.4,1,Housing,Construction/maintenance,Sakae,堺市,City,住居,建築・維持管理,建設・維持管理
Sapporo,110.49,1,Housing,Construction/maintenance,Sapporo,札幌市,City,住居,建築・維持管理,建設・維持管理
Sendai,165.02,1,Housing,Construction/maintenance,Sendai,仙台市,City,住居,建築・維持管理,建設・維持管理
ShikokuReg.,114.75,1,Housing,Construction/maintenance,ShikokuReg.,四国,Region,住居,建築・維持管理,建設・維持管理
Shizuoka,114.51,1,Housing,Construction/maintenance,Shizuoka,静岡市,City,住居,建築・維持管理,建設・維持管理
SmallB/Towns/Villages,112.45,1,Housing,Construction/maintenance,SmallB/Towns/Villages,小都市Ｂ・町村,Class,住居,建築・維持管理,建設・維持管理
SmallCitiesA,108.11,1,Housing,Construction/maintenance,SmallCitiesA,小都市Ａ,Class,住居,建築・維持管理,建設・維持管理
Takamatsu,99.3,1,Housing,Construction/maintenance,Takamatsu,高松市,City,住居,建築・維持管理,建設・維持管理
TohokuReg.,125.6,1,Housing,Construction/maintenance,TohokuReg.,東北,Region,住居,建築・維持管理,建設・維持管理
TokaiReg.,109.5,1,Housing,Construction/maintenance,TokaiReg.,東海,Region,住居,建築・維持管理,建設・維持管理
Tokushima,125.11,1,Housing,Construction/maintenance,Tokushima,徳島市,City,住居,建築・維持管理,建設・維持管理
Tokyo,129.8,1,Housing,Construction/maintenance,Tokyo,東京都区部,City,住居,建築・維持管理,建設・維持管理
Tottori,145.12,1,Housing,Construction/maintenance,Tottori,鳥取市,City,住居,建築・維持管理,建設・維持管理
Toyama,146.62,1,Housing,Construction/maintenance,Toyama,富山市,City,住居,建築・維持管理,建設・維持管理
Tsu,154.55,1,Housing,Construction/maintenance,Tsu,津市,City,住居,建築・維持管理,建設・維持管理
Utsunomiya,121.2,1,Housing,Construction/maintenance,Utsunomiya,宇都宮市,City,住居,建築・維持管理,建設・維持管理
Wakayama,104.44,1,Housing,Construction/maintenance,Wakayama,和歌山市,City,住居,建築・維持管理,建設・維持管理
Yamagata,129.35,1,Housing,Construction/maintenance,Yamagata,山形市,City,住居,建築・維持管理,建設・維持管理
Yamaguchi,148.62,1,Housing,Construction/maintenance,Yamaguchi,山口市,City,住居,建築・維持管理,建設・維持管理
Yokohama,120.48,1,Housing,Construction/maintenance,Yokohama,横浜市,City,住居,建築・維持管理,建設・維持管理
Akita,1371.97,2,Housing,Electricity,Akita,秋田市,City,住居,電気,電気
Aomori,1495.56,2,Housing,Electricity,Aomori,青森市,City,住居,電気,電気
Chiba,1109.28,2,Housing,Electricity,Chiba,千葉市,City,住居,電気,電気
ChugokuReg.,1575.92,2,Housing,Electricity,ChugokuReg.,中国,Region,住居,電気,電気
ChukyoMetro.,1302.58,2,Housing,Electricity,ChukyoMetro.,中京大都市圏,Metropolitan,住居,電気,電気
Cities50000+pop.,1358.25,2,Housing,Electricity,Cities50000+pop.,人口５万以上の市,Class,住居,電気,電気
Fukui,2255.53,2,Housing,Electricity,Fukui,福井市,City,住居,電気,電気
Fukuoka,1150.05,2,Housing,Electricity,Fukuoka,福岡市,City,住居,電気,電気
Fukushima,1691.84,2,Housing,Electricity,Fukushima,福島市,City,住居,電気,電気
Gifu,1437.85,2,Housing,Electricity,Gifu,岐阜市,City,住居,電気,電気
Hamamatsu,1239.73,2,Housing,Electricity,Hamamatsu,浜松市,City,住居,電気,電気
Hiroshima,1330.41,2,Housing,Electricity,Hiroshima,広島市,City,住居,電気,電気
HokkaidoReg.,1392.72,2,Housing,Electricity,HokkaidoReg.,北海道,Region,住居,電気,電気
HokurikuReg.,1780.53,2,Housing,Electricity,HokurikuReg.,北陸,Region,住居,電気,電気
Japan,1367.76,2,Housing,Electricity,Japan,全国,Country,住居,電気,電気
Kagoshima,1311.32,2,Housing,Electricity,Kagoshima,鹿児島市,City,住居,電気,電気
Kanazawa,1833.55,2,Housing,Electricity,Kanazawa,金沢市,City,住居,電気,電気
KantoMetro.,1242.26,2,Housing,Electricity,KantoMetro.,関東大都市圏,Metropolitan,住居,電気,電気
KantoReg.,1269.88,2,Housing,Electricity,KantoReg.,関東,Region,住居,電気,電気
Kawasaki,1296.04,2,Housing,Electricity,Kawasaki,川崎市,City,住居,電気,電気
KinkiMetro.,1357.03,2,Housing,Electricity,KinkiMetro.,近畿大都市圏,Metropolitan,住居,電気,電気
KinkiReg.,1379.27,2,Housing,Electricity,KinkiReg.,近畿,Region,住居,電気,電気
Kitakyushu,1691.71,2,Housing,Electricity,Kitakyushu,北九州市,City,住居,電気,電気
Kitakyushu/FukuokaMetro.,1405.26,2,Housing,Electricity,Kitakyushu/FukuokaMetro.,北九州・福岡大都市圏,Metropolitan,住居,電気,電気
Kobe,1011.01,2,Housing,Electricity,Kobe,神戸市,City,住居,電気,電気
Kochi,1604.79,2,Housing,Electricity,Kochi,高知市,City,住居,電気,電気
Kofu,1471.81,2,Housing,Electricity,Kofu,甲府市,City,住居,電気,電気
Kumamoto,1368.84,2,Housing,Electricity,Kumamoto,熊本市,City,住居,電気,電気
Kyoto,1341.1,2,Housing,Electricity,Kyoto,京都市,City,住居,電気,電気
KyushuReg.,1381.71,2,Housing,Electricity,KyushuReg.,九州,Region,住居,電気,電気
LargeCities,1274.65,2,Housing,Electricity,LargeCities,大都市,Class,住居,電気,電気
Maebashi,1168.92,2,Housing,Electricity,Maebashi,前橋市,City,住居,電気,電気
Matsue,1467.73,2,Housing,Electricity,Matsue,松江市,City,住居,電気,電気
Matsuyama,1534.79,2,Housing,Electricity,Matsuyama,松山市,City,住居,電気,電気
MiddleCities,1377.25,2,Housing,Electricity,MiddleCities,中都市,Class,住居,電気,電気
Mito,1621.72,2,Housing,Electricity,Mito,水戸市,City,住居,電気,電気
Miyazaki,1408.56,2,Housing,Electricity,Miyazaki,宮崎市,City,住居,電気,電気
Morioka,1633.71,2,Housing,Electricity,Morioka,盛岡市,City,住居,電気,電気
Nagano,1342.19,2,Housing,Electricity,Nagano,長野市,City,住居,電気,電気
Nagasaki,1354.2,2,Housing,Electricity,Nagasaki,長崎市,City,住居,電気,電気
Nagoya,1172.89,2,Housing,Electricity,Nagoya,名古屋市,City,住居,電気,電気
Naha,1293.9,2,Housing,Electricity,Naha,那覇市,City,住居,電気,電気
Nara,1411.71,2,Housing,Electricity,Nara,奈良市,City,住居,電気,電気
Niigata,1336.83,2,Housing,Electricity,Niigata,新潟市,City,住居,電気,電気
Oita,1450.49,2,Housing,Electricity,Oita,大分市,City,住居,電気,電気
Okayama,1536.48,2,Housing,Electricity,Okayama,岡山市,City,住居,電気,電気
OkinawaReg.,1159.7,2,Housing,Electricity,OkinawaReg.,沖縄,Region,住居,電気,電気
Osaka,1270.61,2,Housing,Electricity,Osaka,大阪市,City,住居,電気,電気
Otsu,1324.83,2,Housing,Electricity,Otsu,大津市,City,住居,電気,電気
Saga,1645.44,2,Housing,Electricity,Saga,佐賀市,City,住居,電気,電気
Sagamihara,1324.15,2,Housing,Electricity,Sagamihara,相模原市,City,住居,電気,電気
Saitama,1449.1,2,Housing,Electricity,Saitama,さいたま市,City,住居,電気,電気
Sakae,1481.97,2,Housing,Electricity,Sakae,堺市,City,住居,電気,電気
Sapporo,1248.18,2,Housing,Electricity,Sapporo,札幌市,City,住居,電気,電気
Sendai,1281.66,2,Housing,Electricity,Sendai,仙台市,City,住居,電気,電気
ShikokuReg.,1645.27,2,Housing,Electricity,ShikokuReg.,四国,Region,住居,電気,電気
Shizuoka,1513.51,2,Housing,Electricity,Shizuoka,静岡市,City,住居,電気,電気
SmallB/Towns/Villages,1406.82,2,Housing,Electricity,SmallB/Towns/Villages,小都市Ｂ・町村,Class,住居,電気,電気
SmallCitiesA,1443.8,2,Housing,Electricity,SmallCitiesA,小都市Ａ,Class,住居,電気,電気
Takamatsu,1774.49,2,Housing,Electricity,Takamatsu,高松市,City,住居,電気,電気
TohokuReg.,1389.3,2,Housing,Electricity,TohokuReg.,東北,Region,住居,電気,電気
TokaiReg.,1324.82,2,Housing,Electricity,TokaiReg.,東海,Region,住居,電気,電気
Tokushima,1755.37,2,Housing,Electricity,Tokushima,徳島市,City,住居,電気,電気
Tokyo,1268.59,2,Housing,Electricity,Tokyo,東京都区部,City,住居,電気,電気
Tottori,1660.48,2,Housing,Electricity,Tottori,鳥取市,City,住居,電気,電気
Toyama,1736.94,2,Housing,Electricity,Toyama,富山市,City,住居,電気,電気
Tsu,1437.23,2,Housing,Electricity,Tsu,津市,City,住居,電気,電気
Utsunomiya,1346.9,2,Housing,Electricity,Utsunomiya,宇都宮市,City,住居,電気,電気
Wakayama,1571.8,2,Housing,Electricity,Wakayama,和歌山市,City,住居,電気,電気
Yamagata,1462.53,2,Housing,Electricity,Yamagata,山形市,City,住居,電気,電気
Yamaguchi,1585.71,2,Housing,Electricity,Yamaguchi,山口市,City,住居,電気,電気
Yokohama,1172.31,2,Housing,Electricity,Yokohama,横浜市,City,住居,電気,電気
Akita,1262.93,3,Housing,OtherEnergy,Akita,秋田市,City,住居,ガス・灯油等,その他エネルギー
Aomori,1138.17,3,Housing,OtherEnergy,Aomori,青森市,City,住居,ガス・灯油等,その他エネルギー
Chiba,630.23,3,Housing,OtherEnergy,Chiba,千葉市,City,住居,ガス・灯油等,その他エネルギー
ChugokuReg.,487.81,3,Housing,OtherEnergy,ChugokuReg.,中国,Region,住居,ガス・灯油等,その他エネルギー
ChukyoMetro.,595.25,3,Housing,OtherEnergy,ChukyoMetro.,中京大都市圏,Metropolitan,住居,ガス・灯油等,その他エネルギー
Cities50000+pop.,604.97,3,Housing,OtherEnergy,Cities50000+pop.,人口５万以上の市,Class,住居,ガス・灯油等,その他エネルギー
Fukui,441.34,3,Housing,OtherEnergy,Fukui,福井市,City,住居,ガス・灯油等,その他エネルギー
Fukuoka,437.43,3,Housing,OtherEnergy,Fukuoka,福岡市,City,住居,ガス・灯油等,その他エネルギー
Fukushima,748.44,3,Housing,OtherEnergy,Fukushima,福島市,City,住居,ガス・灯油等,その他エネルギー
Gifu,587.06,3,Housing,OtherEnergy,Gifu,岐阜市,City,住居,ガス・灯油等,その他エネルギー
Hamamatsu,463.36,3,Housing,OtherEnergy,Hamamatsu,浜松市,City,住居,ガス・灯油等,その他エネルギー
Hiroshima,494.63,3,Housing,OtherEnergy,Hiroshima,広島市,City,住居,ガス・灯油等,その他エネルギー
HokkaidoReg.,1279.64,3,Housing,OtherEnergy,HokkaidoReg.,北海道,Region,住居,ガス・灯油等,その他エネルギー
HokurikuReg.,642.29,3,Housing,OtherEnergy,HokurikuReg.,北陸,Region,住居,ガス・灯油等,その他エネルギー
Japan,603.43,3,Housing,OtherEnergy,Japan,全国,Country,住居,ガス・灯油等,その他エネルギー
Kagoshima,423.55,3,Housing,OtherEnergy,Kagoshima,鹿児島市,City,住居,ガス・灯油等,その他エネルギー
Kanazawa,524.34,3,Housing,OtherEnergy,Kanazawa,金沢市,City,住居,ガス・灯油等,その他エネルギー
KantoMetro.,665.76,3,Housing,OtherEnergy,KantoMetro.,関東大都市圏,Metropolitan,住居,ガス・灯油等,その他エネルギー
KantoReg.,635.95,3,Housing,OtherEnergy,KantoReg.,関東,Region,住居,ガス・灯油等,その他エネルギー
Kawasaki,716.91,3,Housing,OtherEnergy,Kawasaki,川崎市,City,住居,ガス・灯油等,その他エネルギー
KinkiMetro.,560.4,3,Housing,OtherEnergy,KinkiMetro.,近畿大都市圏,Metropolitan,住居,ガス・灯油等,その他エネルギー
KinkiReg.,535.67,3,Housing,OtherEnergy,KinkiReg.,近畿,Region,住居,ガス・灯油等,その他エネルギー
Kitakyushu,552.47,3,Housing,OtherEnergy,Kitakyushu,北九州市,City,住居,ガス・灯油等,その他エネルギー
Kitakyushu/FukuokaMetro.,498.08,3,Housing,OtherEnergy,Kitakyushu/FukuokaMetro.,北九州・福岡大都市圏,Metropolitan,住居,ガス・灯油等,その他エネルギー
Kobe,555.51,3,Housing,OtherEnergy,Kobe,神戸市,City,住居,ガス・灯油等,その他エネルギー
Kochi,467.94,3,Housing,OtherEnergy,Kochi,高知市,City,住居,ガス・灯油等,その他エネルギー
Kofu,635.74,3,Housing,OtherEnergy,Kofu,甲府市,City,住居,ガス・灯油等,その他エネルギー
Kumamoto,487.63,3,Housing,OtherEnergy,Kumamoto,熊本市,City,住居,ガス・灯油等,その他エネルギー
Kyoto,669.03,3,Housing,OtherEnergy,Kyoto,京都市,City,住居,ガス・灯油等,その他エネルギー
KyushuReg.,445.04,3,Housing,OtherEnergy,KyushuReg.,九州,Region,住居,ガス・灯油等,その他エネルギー
LargeCities,648.96,3,Housing,OtherEnergy,LargeCities,大都市,Class,住居,ガス・灯油等,その他エネルギー
Maebashi,551.19,3,Housing,OtherEnergy,Maebashi,前橋市,City,住居,ガス・灯油等,その他エネルギー
Matsue,554.4,3,Housing,OtherEnergy,Matsue,松江市,City,住居,ガス・灯油等,その他エネルギー
Matsuyama,376.7,3,Housing,OtherEnergy,Matsuyama,松山市,City,住居,ガス・灯油等,その他エネルギー
MiddleCities,623.01,3,Housing,OtherEnergy,MiddleCities,中都市,Class,住居,ガス・灯油等,その他エネルギー
Mito,587.51,3,Housing,OtherEnergy,Mito,水戸市,City,住居,ガス・灯油等,その他エネルギー
Miyazaki,379.71,3,Housing,OtherEnergy,Miyazaki,宮崎市,City,住居,ガス・灯油等,その他エネルギー
Morioka,879.4,3,Housing,OtherEnergy,Morioka,盛岡市,City,住居,ガス・灯油等,その他エネルギー
Nagano,784.25,3,Housing,OtherEnergy,Nagano,長野市,City,住居,ガス・灯油等,その他エネルギー
Nagasaki,477.19,3,Housing,OtherEnergy,Nagasaki,長崎市,City,住居,ガス・灯油等,その他エネルギー
Nagoya,573.79,3,Housing,OtherEnergy,Nagoya,名古屋市,City,住居,ガス・灯油等,その他エネルギー
Naha,333.53,3,Housing,OtherEnergy,Naha,那覇市,City,住居,ガス・灯油等,その他エネルギー
Nara,589.72,3,Housing,OtherEnergy,Nara,奈良市,City,住居,ガス・灯油等,その他エネルギー
Niigata,994.65,3,Housing,OtherEnergy,Niigata,新潟市,City,住居,ガス・灯油等,その他エネルギー
Oita,432.3,3,Housing,OtherEnergy,Oita,大分市,City,住居,ガス・灯油等,その他エネルギー
Okayama,529.76,3,Housing,OtherEnergy,Okayama,岡山市,City,住居,ガス・灯油等,その他エネルギー
OkinawaReg.,394.74,3,Housing,OtherEnergy,OkinawaReg.,沖縄,Region,住居,ガス・灯油等,その他エネルギー
Osaka,554.93,3,Housing,OtherEnergy,Osaka,大阪市,City,住居,ガス・灯油等,その他エネルギー
Otsu,623.28,3,Housing,OtherEnergy,Otsu,大津市,City,住居,ガス・灯油等,その他エネルギー
Saga,492.04,3,Housing,OtherEnergy,Saga,佐賀市,City,住居,ガス・灯油等,その他エネルギー
Sagamihara,717.62,3,Housing,OtherEnergy,Sagamihara,相模原市,City,住居,ガス・灯油等,その他エネルギー
Saitama,762.87,3,Housing,OtherEnergy,Saitama,さいたま市,City,住居,ガス・灯油等,その他エネルギー
Sakae,669.68,3,Housing,OtherEnergy,Sakae,堺市,City,住居,ガス・灯油等,その他エネルギー
Sapporo,1346.66,3,Housing,OtherEnergy,Sapporo,札幌市,City,住居,ガス・灯油等,その他エネルギー
Sendai,852.63,3,Housing,OtherEnergy,Sendai,仙台市,City,住居,ガス・灯油等,その他エネルギー
ShikokuReg.,441.71,3,Housing,OtherEnergy,ShikokuReg.,四国,Region,住居,ガス・灯油等,その他エネルギー
Shizuoka,577.94,3,Housing,OtherEnergy,Shizuoka,静岡市,City,住居,ガス・灯油等,その他エネルギー
SmallB/Towns/Villages,593.01,3,Housing,OtherEnergy,SmallB/Towns/Villages,小都市Ｂ・町村,Class,住居,ガス・灯油等,その他エネルギー
SmallCitiesA,572.17,3,Housing,OtherEnergy,SmallCitiesA,小都市Ａ,Class,住居,ガス・灯油等,その他エネルギー
Takamatsu,441.66,3,Housing,OtherEnergy,Takamatsu,高松市,City,住居,ガス・灯油等,その他エネルギー
TohokuReg.,800.73,3,Housing,OtherEnergy,TohokuReg.,東北,Region,住居,ガス・灯油等,その他エネルギー
TokaiReg.,567.23,3,Housing,OtherEnergy,TokaiReg.,東海,Region,住居,ガス・灯油等,その他エネルギー
Tokushima,613.5,3,Housing,OtherEnergy,Tokushima,徳島市,City,住居,ガス・灯油等,その他エネルギー
Tokyo,653.85,3,Housing,OtherEnergy,Tokyo,東京都区部,City,住居,ガス・灯油等,その他エネルギー
Tottori,502.83,3,Housing,OtherEnergy,Tottori,鳥取市,City,住居,ガス・灯油等,その他エネルギー
Toyama,620.35,3,Housing,OtherEnergy,Toyama,富山市,City,住居,ガス・灯油等,その他エネルギー
Tsu,535.96,3,Housing,OtherEnergy,Tsu,津市,City,住居,ガス・灯油等,その他エネルギー
Utsunomiya,659.04,3,Housing,OtherEnergy,Utsunomiya,宇都宮市,City,住居,ガス・灯油等,その他エネルギー
Wakayama,464.63,3,Housing,OtherEnergy,Wakayama,和歌山市,City,住居,ガス・灯油等,その他エネルギー
Yamagata,916.05,3,Housing,OtherEnergy,Yamagata,山形市,City,住居,ガス・灯油等,その他エネルギー
Yamaguchi,551,3,Housing,OtherEnergy,Yamaguchi,山口市,City,住居,ガス・灯油等,その他エネルギー
Yokohama,652.78,3,Housing,OtherEnergy,Yokohama,横浜市,City,住居,ガス・灯油等,その他エネルギー
Akita,65.07,4,Housing,Water,Akita,秋田市,City,住居,水道,水道
Aomori,57.83,4,Housing,Water,Aomori,青森市,City,住居,水道,水道
Chiba,60.1,4,Housing,Water,Chiba,千葉市,City,住居,水道,水道
ChugokuReg.,53.13,4,Housing,Water,ChugokuReg.,中国,Region,住居,水道,水道
ChukyoMetro.,62.06,4,Housing,Water,ChukyoMetro.,中京大都市圏,Metropolitan,住居,水道,水道
Cities50000+pop.,63.48,4,Housing,Water,Cities50000+pop.,人口５万以上の市,Class,住居,水道,水道
Fukui,72.6,4,Housing,Water,Fukui,福井市,City,住居,水道,水道
Fukuoka,52.61,4,Housing,Water,Fukuoka,福岡市,City,住居,水道,水道
Fukushima,62.23,4,Housing,Water,Fukushima,福島市,City,住居,水道,水道
Gifu,59.71,4,Housing,Water,Gifu,岐阜市,City,住居,水道,水道
Hamamatsu,55.26,4,Housing,Water,Hamamatsu,浜松市,City,住居,水道,水道
Hiroshima,65.9,4,Housing,Water,Hiroshima,広島市,City,住居,水道,水道
HokkaidoReg.,52.88,4,Housing,Water,HokkaidoReg.,北海道,Region,住居,水道,水道
HokurikuReg.,63.53,4,Housing,Water,HokurikuReg.,北陸,Region,住居,水道,水道
Japan,60.52,4,Housing,Water,Japan,全国,Country,住居,水道,水道
Kagoshima,65.25,4,Housing,Water,Kagoshima,鹿児島市,City,住居,水道,水道
Kanazawa,62.83,4,Housing,Water,Kanazawa,金沢市,City,住居,水道,水道
KantoMetro.,70.32,4,Housing,Water,KantoMetro.,関東大都市圏,Metropolitan,住居,水道,水道
KantoReg.,66.77,4,Housing,Water,KantoReg.,関東,Region,住居,水道,水道
Kawasaki,70.85,4,Housing,Water,Kawasaki,川崎市,City,住居,水道,水道
KinkiMetro.,72.15,4,Housing,Water,KinkiMetro.,近畿大都市圏,Metropolitan,住居,水道,水道
KinkiReg.,66.73,4,Housing,Water,KinkiReg.,近畿,Region,住居,水道,水道
Kitakyushu,67.93,4,Housing,Water,Kitakyushu,北九州市,City,住居,水道,水道
Kitakyushu/FukuokaMetro.,52.5,4,Housing,Water,Kitakyushu/FukuokaMetro.,北九州・福岡大都市圏,Metropolitan,住居,水道,水道
Kobe,59.89,4,Housing,Water,Kobe,神戸市,City,住居,水道,水道
Kochi,57.23,4,Housing,Water,Kochi,高知市,City,住居,水道,水道
Kofu,62.36,4,Housing,Water,Kofu,甲府市,City,住居,水道,水道
Kumamoto,61.94,4,Housing,Water,Kumamoto,熊本市,City,住居,水道,水道
Kyoto,76.93,4,Housing,Water,Kyoto,京都市,City,住居,水道,水道
KyushuReg.,49.62,4,Housing,Water,KyushuReg.,九州,Region,住居,水道,水道
LargeCities,66.75,4,Housing,Water,LargeCities,大都市,Class,住居,水道,水道
Maebashi,63.28,4,Housing,Water,Maebashi,前橋市,City,住居,水道,水道
Matsue,58.83,4,Housing,Water,Matsue,松江市,City,住居,水道,水道
Matsuyama,46.34,4,Housing,Water,Matsuyama,松山市,City,住居,水道,水道
MiddleCities,66.09,4,Housing,Water,MiddleCities,中都市,Class,住居,水道,水道
Mito,59.62,4,Housing,Water,Mito,水戸市,City,住居,水道,水道
Miyazaki,59.42,4,Housing,Water,Miyazaki,宮崎市,City,住居,水道,水道
Morioka,68.13,4,Housing,Water,Morioka,盛岡市,City,住居,水道,水道
Nagano,65.66,4,Housing,Water,Nagano,長野市,City,住居,水道,水道
Nagasaki,53.81,4,Housing,Water,Nagasaki,長崎市,City,住居,水道,水道
Nagoya,73.41,4,Housing,Water,Nagoya,名古屋市,City,住居,水道,水道
Naha,65.75,4,Housing,Water,Naha,那覇市,City,住居,水道,水道
Nara,70.31,4,Housing,Water,Nara,奈良市,City,住居,水道,水道
Niigata,65.84,4,Housing,Water,Niigata,新潟市,City,住居,水道,水道
Oita,56.96,4,Housing,Water,Oita,大分市,City,住居,水道,水道
Okayama,59.62,4,Housing,Water,Okayama,岡山市,City,住居,水道,水道
OkinawaReg.,55.52,4,Housing,Water,OkinawaReg.,沖縄,Region,住居,水道,水道
Osaka,70.72,4,Housing,Water,Osaka,大阪市,City,住居,水道,水道
Otsu,69.81,4,Housing,Water,Otsu,大津市,City,住居,水道,水道
